,ciphertext,degrees_ranked
506,~016700458d706d6d00,
507,~01c381f88423ac2daa,Bachelors
508,~01efb8edb47062c3d1,Bachelors
509,~0146d84fcb3e4ec0f3,Masters
510,~01f782f4cc3d7c5c4b,Bachelors
511,~0182cd0a51e1a5a72b,Bachelors
512,~0196c58f9d70d8ce70,Masters
513,~0100cfbd7e4172fd03,Bachelors
514,~010ed7105560c21205,Bachelors
515,~01ba1fdb4f9639a59b,Bachelors
516,~01a4e01787fd6cd95e,Bachelors
517,~0186994ea6781a9788,Masters
518,~01caf88513d45d5498,
519,~0178ff4a37b41b2d94,Bachelors
520,~01be5c133a9f7b426b,Masters
521,~01df68b2b14e663f46,Bachelors
522,~0165130dd41b72f4bd,Bachelors
523,~01b33d3e28c37face0,Masters
524,~0167e275fedce8606b,Masters
525,~01374ff9986dd7cc4f,PhD
526,~011263375258cc4afb,Masters
527,~012ac2eeaba3f3c421,Bachelors
528,~01f262270fa5259318,Masters
529,~01e2e05fda6f3fd490,Bachelors
530,~01eaccad3ed61cab0e,Bachelors
531,~0198864bb1f416d73b,other
532,~019550d07a7ac9b3ab,Bachelors
533,~01cfefc1a249bb4648,PhD
534,~017481adf29255f372,Masters
535,~01ea9151a6ad199cce,Bachelors
536,~012b70657408b91f0f,Bachelors
537,~013e767930d76a5d98,Bachelors
538,~0192bc0c6961ddea89,Masters
539,~01817246e5e3a9169e,Bachelors
540,~012de8b14325cafffb,Bachelors
541,~01f9a23460dca48357,Bachelors
542,~01716dfedb0541c07e,Masters
543,~016b38b35d0d6ea294,Masters
544,~01b07d83fedb0fe718,Bachelors
545,~010bf40a1855fb1084,Masters
546,~014ca8ae4be3d22cf3,Masters
547,~0178c6f3dab594dca8,Bachelors
548,~018396eb1ce2335152,PhD
549,~01d2188c8dc406b8ae,Masters
550,~0138b7810e312e2ea8,
551,~01a451cd1b3b61dd6c,Bachelors
552,~017d561585f610685a,Bachelors
553,~019826867a2e0a259f,PhD
554,~01f3b99be5f31b3896,Bachelors
